nx_id,lon,lat,hex_id,rx_idx
222067704,-96.206875,30.034588,89446d8ae8fffff,0
222067708,-96.20722,30.036322,89446d8ae17ffff,1
222070033,-96.29815,30.04781,89446d8188fffff,2
222070064,-96.298447,30.052312,89446d81807ffff,3
222070366,-96.233368,30.038054,89446d8ac23ffff,4
222070441,-96.244413,30.040968,89446d8ad1bffff,5
222070445,-96.242835,30.044012,89446d8ad57ffff,6
222070492,-96.162789,30.040749,89446d88427ffff,7
222070510,-96.167392,30.043449,89446d88553ffff,8
222072226,-96.2121593,30.026535,89446d8ac5bffff,9
222073356,-96.32235,30.04894,89446d81d3bffff,10
222078259,-96.304522,30.044955,89446d81d4bffff,11
222078263,-96.304188,30.042791,89446d81d4bffff,12
222078316,-96.297915,30.083114,89446d81b27ffff,13
222078321,-96.29714,30.07974,89446d81b37ffff,14
222080497,-96.317516,30.082439,89446d8e687ffff,15
222080513,-96.317725,30.083789,89446d8e687ffff,16
222080528,-96.318324,30.084864,89446d8e6bbffff,17
222080547,-96.320912,30.086887,89446d8e6a3ffff,18
222085132,-96.32137,30.04866,89446d81d3bffff,19
222085150,-96.32221,30.04981,89446d81d23ffff,20
222085238,-96.32176,30.04594,89446d81d07ffff,21
222085243,-96.32115,30.04594,89446d81d07ffff,22
222085281,-96.31958,30.04348,89446d81d03ffff,23
222085293,-96.31942,30.04193,89446d81d03ffff,24
222088357,-96.288595,30.077704,89446d81b0fffff,25
222088363,-96.292927,30.076086,89446d81b07ffff,26
222091058,-96.1743294,30.0344184,89446d8a36fffff,27
222092521,-96.31989,30.04324,89446d81d03ffff,28
222092531,-96.32016,30.04314,89446d81d03ffff,29
222093439,-96.1397949,30.0495523,89446d88627ffff,30
222093973,-96.325033,30.0472,89446d81d33ffff,31
222093977,-96.324819,30.045835,89446d81d33ffff,32
222101236,-96.2772667,30.0433329,89446d81e23ffff,33
222101737,-96.155342,30.028195,89446d88413ffff,34
222101750,-96.161638,30.031603,89446d884abffff,35
222108493,-96.196638,30.047161,89446d8ae6fffff,36
222108505,-96.199211,30.047715,89446d8ae67ffff,37
222108893,-96.3268645,30.0475161,89446d81d37ffff,38
222108911,-96.326328,30.0455,89446d81dafffff,39
222108922,-96.326157,30.044961,89446d81dafffff,40
222108985,-96.32695,30.043871,89446d81dabffff,41
222109232,-96.3271157,30.0488182,89446d81d37ffff,42
222109242,-96.3265197,30.0484517,89446d81d37ffff,43
222109867,-96.299288,30.068047,89446d81b87ffff,44
222109898,-96.296148,30.054558,89446d8183bffff,45
222110489,-96.197626,30.05967,89446d8aa03ffff,46
222110508,-96.196527,30.061677,89446d8aa0bffff,47
222112604,-96.294773,30.055021,89446d8183bffff,48
222115055,-96.255239,30.03925,89446d8ad87ffff,49
222115627,-96.330393,30.080313,89446d8e457ffff,50
222115641,-96.332414,30.087997,89446d8e463ffff,51
222116021,-96.32411,30.046881,89446d81d33ffff,52
222116036,-96.323801,30.045258,89446d81d33ffff,53
222116261,-96.294504,30.043633,89446d8188bffff,54
222116269,-96.294108,30.044944,89446d8188bffff,55
222116280,-96.293107,30.044716,89446d818c7ffff,56
222116288,-96.296369,30.044275,89446d8188bffff,57
222116299,-96.297107,30.045734,89446d8188fffff,58
222116311,-96.294967,30.045999,89446d81813ffff,59
222118004,-96.3219387,30.0490468,89446d81d3bffff,60
222118035,-96.32168,30.04708,89446d81d3bffff,61
222118046,-96.3215562,30.0466335,89446d81d3bffff,62
222119593,-96.136008,30.046283,89446d88623ffff,63
