trip_id,timestamp,origin_lat,origin_lon,origin_h3_cell,destination_lat,destination_lon,destination_h3_cell,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes
TRIP_000000,0.0,41.0797891,-81.5230369,872ab3ac4ffffff,41.046617,-81.561485,872ab3ac2ffffff,3.660635375135632,1.0,5.928508300108506,assigned,0.0,0.45820903853341804,1.099701692480205
TRIP_000001,38.47226632929355,41.05725,-81.560419,872ab3ac2ffffff,41.133118,-81.472981,872ab3a19ffffff,7.720998604696622,1.0,9.176798883757298,requested,,,
TRIP_000002,61.451287416909054,41.125546,-81.4677926,872ab3ae4ffffff,41.042838,-81.489993,872ab3ac1ffffff,6.480477683267144,1.0,8.184382146613714,requested,,,
TRIP_000003,81.33890805017647,41.0870775,-81.5146555,872ab3ac4ffffff,41.075417,-81.494429,872ab3ae3ffffff,1.4469467809435501,1.0,4.15755742475484,assigned,16.0,0.149582576807196,0.35899818433727104
TRIP_000004,89.02509913357505,41.0726219,-81.5383427,872ab3ac6ffffff,41.10097,-81.536739,872ab3af1ffffff,2.721693467683752,1.0,5.177354774147002,assigned,55.0,1.486883195479504,3.568519669150811
TRIP_000005,119.28120415359547,41.0260465,-81.467002,872ab3aebffffff,41.138172,-81.4408514,872ab3a0affffff,8.901887470843874,1.0,10.1215099766751,requested,,,
TRIP_000006,127.77494367405674,41.055223,-81.505885,872ab3ac5ffffff,41.057133,-81.557228,872ab3ac2ffffff,3.476476817661467,1.0,5.7811814541291735,assigned,1.0,1.52428141884921,3.658275405238106
TRIP_000007,143.1261378028126,41.056137,-81.442168,872ab3aecffffff,41.0429672,-81.4392659,872ab3ae8ffffff,1.4648071238227371,1.0,4.17184569905819,requested,,,
TRIP_000008,174.74706970699398,41.109819,-81.502168,872ab3ae6ffffff,41.094711,-81.497401,872ab3ae2ffffff,1.248971934191609,1.0,3.999177547353287,assigned,52.0,1.487410873314327,3.5697860959543872
TRIP_000009,202.5242463984141,41.050647,-81.456082,872ab3ae8ffffff,41.123844,-81.470159,872ab3ae4ffffff,5.628442706870495,1.0,7.502754165496396,requested,,,
TRIP_000010,208.83520746269846,41.10189,-81.466392,872ab3ae0ffffff,41.036532,-81.523315,872ab3ac3ffffff,6.482575062187465,1.0,8.186060049749972,requested,,,
TRIP_000011,213.9187742014455,41.095054,-81.565893,872ab3af3ffffff,41.085698,-81.503051,872ab3ae2ffffff,3.957992423050329,1.0,6.166393938440263,assigned,11.0,1.5246019737591971,3.659044737022073
TRIP_000012,215.3120700280067,41.056299,-81.509951,872ab3ac0ffffff,41.06167,-81.533138,872ab3ac0ffffff,1.8642134195467361,1.0,4.491370735637389,assigned,2.0,1.486652220318835,3.567965328765205
TRIP_000013,218.9322887508799,41.070925,-81.446311,872ab3ae1ffffff,41.090868,-81.512519,872ab3ae2ffffff,4.310897578608499,1.0,6.448718062886799,requested,,,
TRIP_000014,236.8278665417015,41.053126,-81.518439,872ab3ac0ffffff,41.050647,-81.456082,872ab3ae8ffffff,4.470801926021108,1.0,6.576641540816887,assigned,3.0,1.486652220318835,3.567965328765205
TRIP_000015,236.96531335147054,41.065863,-81.547958,872ab3ac6ffffff,41.0432193,-81.460625,872ab3aeaffffff,5.980129049357771,1.0,7.784103239486217,assigned,75.0,1.178130844172651,2.827514026014364
TRIP_000016,263.85757287251965,41.065813,-81.500194,872ab3ac5ffffff,41.057491,-81.5351261,872ab3ac0ffffff,2.250661487766678,1.0,4.800529190213343,assigned,4.0,1.52428141884921,3.658275405238106
TRIP_000017,288.6347747142631,41.1022941,-81.500387,872ab3ae2ffffff,41.0711934,-81.5226939,872ab3ac4ffffff,2.826855098619851,1.0,5.261484078895881,assigned,69.0,0.5385099286580051,1.292423828779213
TRIP_000018,289.51868103487647,41.054296,-81.549272,872ab3ac2ffffff,41.100545,-81.469964,872ab3ae0ffffff,6.51945361994719,1.0,8.215562895957753,assigned,43.0,1.486503560399175,3.5676085449580213
TRIP_000019,304.11275400028217,41.082093,-81.441661,872ab3ae1ffffff,41.073366,-81.439559,872ab3aecffffff,0.70291440079474,1.0,3.562331520635792,requested,,,
TRIP_000020,305.4710194756267,41.040638,-81.51033,872ab3ac1ffffff,41.1209843,-81.4621816,872ab3ae4ffffff,7.040747677974044,1.0,8.632598142379237,assigned,17.0,1.524021644836423,3.657651947607416
TRIP_000021,332.0605833581156,41.090525,-81.562464,872ab3af3ffffff,41.095992,-81.5512,872ab3af3ffffff,0.9552810818356731,1.0,3.764224865468539,assigned,13.0,1.5246019737591971,3.659044737022073
TRIP_000022,333.06205905966925,41.052627,-81.488826,872ab3ac5ffffff,41.0414732,-81.5637754,872ab3adcffffff,4.603721271445269,1.0,6.682977017156215,assigned,7.0,1.486800625607362,3.5683215014576692
TRIP_000023,335.0369168087157,41.0426756,-81.5604751,872ab3adcffffff,41.0995064,-81.5690397,872ab3af2ffffff,4.522730959017643,1.0,6.618184767214115,requested,,,
TRIP_000024,338.06108552084686,41.088234,-81.533525,872ab3af1ffffff,41.067958,-81.50816,872ab3ac4ffffff,2.5535961191209102,1.0,5.042876895296729,assigned,57.0,0.409191244286414,0.9820589862873941
TRIP_000025,351.96093479513826,41.081695,-81.470197,872ab3ae3ffffff,41.1068692,-81.4908434,872ab3ae6ffffff,2.83763265303239,1.0,5.270106122425913,assigned,87.0,1.084034538050054,2.601682891320129
TRIP_000026,391.4097378476247,41.117024,-81.508022,872ab3af5ffffff,41.073633,-81.5398224,872ab3ac6ffffff,3.948791195662966,1.0,6.159032956530373,assigned,14.0,1.487262556339571,3.569430135214972
TRIP_000027,393.2884715854374,41.132094,-81.549303,872ab3af4ffffff,41.075904,-81.539803,872ab3ac6ffffff,4.188012932498953,1.0,6.350410345999163,requested,,,
TRIP_000028,402.29335211468504,41.137857,-81.504147,872ab3a1bffffff,41.094703,-81.494722,872ab3ae2ffffff,3.831558002629415,1.0,6.065246402103533,requested,,,
TRIP_000029,431.5852016359147,41.049986,-81.496608,872ab3ac5ffffff,41.077161,-81.439132,872ab3ae1ffffff,4.5961036060200025,1.0,6.676882884816003,assigned,5.0,1.486800625607362,3.5683215014576692
TRIP_000030,465.36623147472733,41.080861,-81.459908,872ab3ae1ffffff,41.063967,-81.558357,872ab3ad5ffffff,5.912326155786968,1.0,7.729860924629575,assigned,53.0,1.565216538007179,3.756519691217229
TRIP_000031,490.35364140754916,41.039055,-81.523349,872ab3ac3ffffff,41.032753,-81.544129,872ab3ac3ffffff,1.671643504951646,1.0,4.337314803961317,assigned,28.0,1.4862724826533291,3.56705395836799
TRIP_000032,518.2360583372435,41.074705,-81.480924,872ab3ae3ffffff,41.132951,-81.508494,872ab3a1bffffff,5.258632172912085,1.0,7.206905738329668,assigned,44.0,0.602204955247402,1.445291892593765
TRIP_000033,554.8840239772867,41.069697,-81.5547077,872ab3ac6ffffff,41.042188,-81.555391,872ab3adcffffff,2.372816592422023,1.0,4.898253273937618,assigned,72.0,1.3145928190848921,3.155022765803741
