timestamp,vehicle_id,energy_delivered,charge_duration_minutes,total_depot_energy,chargers_in_use,vehicles_queued,energy_cost,datetime
52449.090903111864,45,61.240258860139825,14.697662126433558,61.240258860139825,5,2,9.951542064772722,2025-01-16 14:34:09.090903
52624.25969933666,83,62.01895345421008,14.884548829010418,123.2592123143499,5,3,10.078079936309138,2025-01-16 14:37:04.259699
52992.962932534276,10,60.853562002422535,14.604854880581408,184.11277431677243,5,9,9.888703825393662,2025-01-16 14:43:12.962933
53077.88775060577,8,61.22509899239732,14.694023758175357,245.33787330916977,5,9,9.949078586264564,2025-01-16 14:44:37.887751
53152.12956988808,56,61.15813810152771,14.67795314436665,306.49601141069746,5,9,9.938197441498254,2025-01-16 14:45:52.129570
53349.726124575434,39,62.544112601636726,15.010587024392814,369.0401240123342,5,15,10.163418297765968,2025-01-16 14:49:09.726125
53516.02343567213,6,61.928037245518354,14.862728938924404,430.96816125785256,5,19,10.063306052396733,2025-01-16 14:51:56.023436
53918.0706742293,0,64.24359317326535,15.418462361583684,495.2117544311179,5,30,10.439583890655621,2025-01-16 14:58:38.070674
53969.544464412196,95,61.9206051254462,14.860945230107088,557.1323595565641,5,30,10.062098332885007,2025-01-16 14:59:29.544464
54046.65837567393,31,62.12005595735055,14.908813429764132,619.2524155139147,5,31,10.094509093069465,2025-01-16 15:00:46.658376
54229.34475691277,16,61.084627245647944,14.660310538955507,680.3370427595627,5,32,9.926251927417791,2025-01-16 15:03:49.344757
54405.6162314161,60,61.77727748222015,14.826546595732834,742.1143202417828,5,36,10.038807590860774,2025-01-16 15:06:45.616231
54826.0437480351,61,63.05368568095851,15.132884563430043,805.1680059227414,5,45,10.246223923155759,2025-01-16 15:13:46.043748
54861.915527528094,42,61.97021271638155,14.872851051931573,867.1382186391229,5,45,10.070159566412002,2025-01-16 15:14:21.915528
54948.73624413773,81,62.644296421097465,15.034631141063391,929.7825150602204,5,48,10.179698168428338,2025-01-16 15:15:48.736244
55108.40625893075,50,61.04593764013795,14.651025033633108,990.8284527003583,5,56,9.919964866522417,2025-01-16 15:18:28.406259
55280.25559849351,29,60.738844935931624,14.57732278462359,1051.5672976362898,5,57,9.87006230208889,2025-01-16 15:21:20.255598
55707.61180074489,63,61.22000366040208,14.6928008784965,1112.7873012966918,5,64,9.948250594815338,2025-01-16 15:28:27.611801
55738.61519266556,92,60.88192119010177,14.611661085624426,1173.6692224867936,5,64,9.893312193391537,2025-01-16 15:28:58.615193
55855.31914668749,27,62.957146010399754,15.109715042495942,1236.6263684971934,5,63,10.23053622668996,2025-01-16 15:30:55.319147
55995.22692265946,65,61.58476831449342,14.78034439547842,1298.2111368116869,5,65,10.007524851105181,2025-01-16 15:33:15.226923
56166.388255974234,21,61.53699010282799,14.76887762467872,1359.7481269145148,5,64,9.999760891709549,2025-01-16 15:36:06.388256
56589.838227603475,75,61.26572408740165,14.703773780976396,1421.0138510019165,5,65,9.955680164202768,2025-01-16 15:43:09.838228
56622.0660557121,17,61.3507543782321,14.724181050775703,1482.3646053801485,5,64,9.969497586462715,2025-01-16 15:43:42.066056
56745.3371590637,52,61.8068064150145,14.83363353960348,1544.171411795163,5,63,10.043606042439857,2025-01-16 15:45:45.337159
56915.370822352175,66,63.89888192310535,15.335731661545283,1608.0702937182684,5,63,10.38356831250462,2025-01-16 15:48:35.370822
57043.18280073126,97,60.88851005257129,14.61324241261711,1668.9588037708397,5,63,9.894382883542836,2025-01-16 15:50:43.182801
57491.647204467336,38,62.6256233933236,15.030149614397665,1731.5844271641633,5,65,10.176663801415085,2025-01-16 15:58:11.647204
57516.70814481509,68,62.12792285437469,14.910701485049925,1793.712350018538,5,64,10.095787463835887,2025-01-16 15:58:36.708145
57647.22197405522,91,62.63088992996619,15.031413583191885,1856.343239948504,5,63,10.177519613619506,2025-01-16 16:00:47.221974
57830.38321823845,12,63.54252749210242,15.25020659810458,1919.8857674406065,5,63,10.325660717466643,2025-01-16 16:03:50.383218
57938.52548724463,51,62.17657545231762,14.922378108556229,1982.062342892924,5,63,10.103693511001614,2025-01-16 16:05:38.525487
58381.409055395336,47,61.78901742555565,14.829364182133355,2043.8513603184797,5,62,10.040715331652793,2025-01-16 16:13:01.409055
58412.3494130706,44,62.1973102955216,14.927354470925186,2106.0486706140014,5,61,10.10706292302226,2025-01-16 16:13:32.349413
58531.89556974351,49,61.435666367242696,14.744559928138246,2167.4843369812443,5,60,9.983295784676939,2025-01-16 16:15:31.895570
58709.77611496929,1,61.06895116186359,14.65654827884726,2228.5532881431077,5,59,9.923704563802833,2025-01-16 16:18:29.776115
58821.23963083167,99,61.299593304655254,14.71190239311726,2289.852881447763,5,58,9.96118391200648,2025-01-16 16:20:21.239631
59289.9536580025,59,63.093375181053275,15.142410043452786,2352.9462566288166,5,57,10.252673466921157,2025-01-16 16:28:09.953658
59296.37863826787,9,61.390918416477156,14.733820419954517,2414.337175045294,5,56,9.976024242677537,2025-01-16 16:28:16.378638
59427.41832398525,4,62.18908015567645,14.925379237362348,2476.5262552009704,5,55,10.105725525297423,2025-01-16 16:30:27.418324
59596.843767408456,96,61.60192030827527,14.784460873986065,2538.1281755092455,5,54,10.010312050094731,2025-01-16 16:33:16.843767
59708.832360144406,34,61.63838398005136,14.793212155212325,2599.766559489297,5,54,10.016237396758346,2025-01-16 16:35:08.832360
60184.61212205261,35,61.682880818384795,14.80389139641235,2661.449440307682,5,53,10.02346813298753,2025-01-16 16:43:04.612122
